transactionId,orderId,customerId,itemId,quantity,status,message,timestamp
1b4a27b8-11c4-4dd6-9601-0672d542c150,ORD-46799857287000,CUST-46,FI-001,1,SUCCESS,Processed: Tier: SILVER | Qty: 1 | Voucher: false,1779448556695
71971910-b6f5-41dc-8d1a-ce5bf325fe92,ORD-46799859195100,CUST-43,FI-001,2,SUCCESS,Processed: Tier: GOLD | Qty: 2 | Voucher: false,1779448556695
95e61e42-f3f8-41c7-bf57-32a3638d82f4,ORD-46799858531700,CUST-34,FI-001,1,SUCCESS,Processed: Tier: STANDARD | Qty: 1 | Voucher: true,1779448556695
5e5b03f3-0a3c-4b84-9a21-f86ea7b907f7,ORD-46799858905300,CUST-31,FI-001,1,SUCCESS,Processed: Tier: GOLD | Qty: 1 | Voucher: false,1779448556695
7f3f4b8e-27ad-4624-b5e7-dfacadbb7a6c,ORD-46799858646300,CUST-42,FI-001,1,SUCCESS,Processed: Tier: STANDARD | Qty: 1 | Voucher: false,1779448556695
6109f85e-5b7a-40e6-b565-97d03104cc34,ORD-46799859026200,CUST-30,FI-001,1,SUCCESS,Processed: Tier: GOLD | Qty: 1 | Voucher: false,1779448556695
458a2fb1-9a77-4e6b-b190-f6a0bc7f5d44,ORD-46799856401500,CUST-23,FI-001,1,SUCCESS,Processed: Tier: STANDARD | Qty: 1 | Voucher: false,1779448556695
d7288812-6b40-40f7-af59-2ebd2720fbe3,ORD-46799859404300,CUST-33,FI-001,2,SUCCESS,Processed: Tier: GOLD | Qty: 2 | Voucher: false,1779448556695
26aecbda-56d6-47b2-a4b9-caf3d4dcf910,ORD-46799857464600,CUST-29,FI-001,1,SUCCESS,Processed: Tier: STANDARD | Qty: 1 | Voucher: false,1779448556695
d115485d-b621-42c7-b419-92f46d900540,ORD-46799859127100,CUST-48,FI-001,1,SUCCESS,Processed: Tier: STANDARD | Qty: 1 | Voucher: false,1779448556695
9eca6d10-7de6-4cc7-a317-ee8ab59658a3,ORD-46799859599600,CUST-40,FI-001,1,SUCCESS,Processed: Tier: STANDARD | Qty: 1 | Voucher: false,1779448556695
c1769701-2409-449c-b1f6-d27613d17e38,ORD-46799858719900,CUST-52,FI-001,1,SUCCESS,Processed: Tier: STANDARD | Qty: 1 | Voucher: false,1779448556695
de54d7a4-d6a4-4eab-bb94-70d911e4c285,ORD-46799857396500,CUST-27,FI-001,1,SUCCESS,Processed: Tier: STANDARD | Qty: 1 | Voucher: false,1779448556695
197162d3-a378-4d8d-8778-d410a6e4da6c,ORD-46799859832600,CUST-35,FI-001,1,SUCCESS,Processed: Tier: STANDARD | Qty: 1 | Voucher: false,1779448556695
bc995c5a-c520-4940-9b3e-366885420107,ORD-46799859349800,CUST-49,FI-001,3,SUCCESS,Processed: Tier: DIAMOND | Qty: 3 | Voucher: false,1779448556695
676e64c3-a9dc-4c87-9614-7eec51346d3c,ORD-46799856620400,CUST-24,FI-001,1,SUCCESS,Processed: Tier: SILVER | Qty: 1 | Voucher: false,1779448556695
a2b482fd-cf0e-4c7a-87bd-31e25a027f8e,ORD-46799858838300,CUST-51,FI-001,2,SUCCESS,Processed: Tier: GOLD | Qty: 2 | Voucher: false,1779448556695
23c4543f-7f21-42a7-9b09-bfa30e213a0b,ORD-46799857075200,CUST-39,FI-001,2,SUCCESS,Processed: Tier: DIAMOND | Qty: 2 | Voucher: false,1779448556695
b996f0ea-0cdf-4eca-aa6d-3c92a688caba,ORD-46799859755200,CUST-38,FI-001,1,SUCCESS,Processed: Tier: STANDARD | Qty: 1 | Voucher: false,1779448556695
ec353363-2b45-4928-84a0-6a0ee292f987,ORD-46799857761100,CUST-47,FI-001,1,SUCCESS,Processed: Tier: STANDARD | Qty: 1 | Voucher: false,1779448556695
73c986fb-ca59-4045-af83-99009c0ead69,ORD-46799859898200,CUST-37,FI-001,1,SUCCESS,Processed: Tier: DIAMOND | Qty: 1 | Voucher: false,1779448556696
23ff56ab-8c5d-40e1-b7c7-bf6f82f02f40,ORD-46799857819800,CUST-50,FI-001,2,SUCCESS,Processed: Tier: DIAMOND | Qty: 2 | Voucher: false,1779448556696
5112ccc4-23a6-47d8-9783-f1ee13181f1f,ORD-46799856731200,CUST-45,FI-001,1,SUCCESS,Processed: Tier: STANDARD | Qty: 1 | Voucher: false,1779448556696
28497e06-143f-4b65-8ef4-82ee47b95ed6,ORD-46799856866800,CUST-44,FI-001,2,SUCCESS,Processed: Tier: SILVER | Qty: 2 | Voucher: false,1779448556696
