runNumber,lockType,totalThreads,initialStock,successCount,successfulQuantity,failedCount,finalStock,negativeStock,durationMs,retryCount,retryRatePercent,tps,dataConsistent,vsBaselinePercent,target
1,NO_LOCK,1000,100,1000,1200,0,97,1100,1030,0,0.00,970.87,false,0.0,BASELINE
1,FILE_LOCK,1000,100,81,100,919,0,0,505,0,0.00,160.40,true,-83.5,CHUA_DAT
1,SYNCHRONIZED,1000,100,82,100,918,0,0,289,0,0.00,283.74,true,-70.8,CHUA_DAT
1,OPTIMISTIC_LOCK,1000,100,8,9,992,91,0,1522,2988,298.80,5.26,true,-99.5,CHUA_DAT
2,NO_LOCK,1000,100,1000,1207,0,98,1107,2766,0,0.00,361.53,false,0.0,BASELINE
2,FILE_LOCK,1000,100,78,100,922,0,0,1237,0,0.00,63.06,true,-82.6,CHUA_DAT
2,SYNCHRONIZED,1000,100,83,100,917,0,0,673,0,0.00,123.33,true,-65.9,CHUA_DAT
2,OPTIMISTIC_LOCK,1000,100,9,9,991,91,0,2233,2985,298.50,4.03,true,-98.9,CHUA_DAT
3,NO_LOCK,1000,100,1000,1172,0,98,1072,2734,0,0.00,365.76,false,0.0,BASELINE
3,FILE_LOCK,1000,100,88,100,912,0,0,1110,0,0.00,79.28,true,-78.3,CHUA_DAT
3,SYNCHRONIZED,1000,100,88,100,912,0,0,748,0,0.00,117.65,true,-67.8,CHUA_DAT
3,OPTIMISTIC_LOCK,1000,100,9,12,991,88,0,2186,2985,298.50,4.12,true,-98.9,CHUA_DAT
